label,class,n_true,recall,recall_lo,recall_hi,n_pred,precision,precision_lo,precision_hi
extended_8class,carcinoma,37,0.918919,0.786993,0.972039,34,1.000000,0.898485,1.000000
extended_8class,glioma,836,0.924641,0.904741,0.940657,810,0.954321,0.937673,0.966680
extended_8class,meningioma,837,0.951016,0.934222,0.963688,848,0.938679,0.920469,0.952933
extended_8class,neurocytoma,68,0.941176,0.858283,0.976889,67,0.955224,0.876422,0.984656
extended_8class,no_tumor,619,0.988691,0.976843,0.994512,646,0.947368,0.927353,0.962095
extended_8class,papilloma,35,0.657143,0.491519,0.791683,31,0.741935,0.567539,0.862983
extended_8class,pituitary,400,0.965000,0.942115,0.979039,388,0.994845,0.981403,0.998585
extended_8class,schwannoma,69,0.884058,0.787543,0.940065,77,0.792208,0.688796,0.867849
