label,class,n_true,recall,recall_lo,recall_hi,n_pred,precision,precision_lo,precision_hi
trustworthy_4class,glioma,654,0.912844,0.888745,0.932122,602,0.991694,0.980706,0.996447
trustworthy_4class,meningioma,706,0.984419,0.972317,0.991278,737,0.943012,0.923865,0.957565
trustworthy_4class,no_tumor,540,1.000000,0.992936,1.000000,572,0.944056,0.922091,0.960096
trustworthy_4class,pituitary,400,0.965000,0.942115,0.979039,389,0.992288,0.977574,0.997374
